name,credentials,category,description,city,zip,online,state,url,type
"Marquis Child Psychology","Psychologist, PhD","parenting","","San Diego","92117","no","CA","https://www.psychologytoday.com/us/groups/marquis-child-psychology-san-diego-ca/221526","group"
"Family Connections Therapy","Marriage & Family Therapist, LMFT, LPCC","parenting","","San Diego","92128","no","CA","https://www.psychologytoday.com/us/groups/family-connections-therapy-san-diego-ca/201179","group"
"Parenting Group","Counselor, PhD, LPCC","parenting","","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/parenting-group-san-diego-ca/44940","group"
"parent coaching","Marriage & Family Therapist, MA, MFT","parenting","","San Diego","92127","no","CA","https://www.psychologytoday.com/us/groups/parent-coaching-san-diego-ca/132847","group"
"Wellsphere Therapy Group","Psychologist, PsyD","parenting","","San Diego","92117","no","CA","https://www.psychologytoday.com/us/groups/wellsphere-therapy-group-san-diego-ca/283209","group"
"The Psych NP","Psychiatric Nurse Practitioner, MSN, APNP, PMHNP","adhd",", anxiety, OCD, mood disorders, psychosis, trauma, and neurodivergence.","San Diego","92105","no","CA","https://www.psychologytoday.com/us/groups/the-psych-np-san-diego-ca/254531","group"
"PEERS for Teens","Marriage & Family Therapist, LMFT","adhd","The Program for the Education and Enrichment of Relational Skills (PEERS®) is an evidence-based social skills intervention originally developed at UCLA by Dr. Elizabeth Laugeson and Dr. Fred Frankel in 2005 and is now used in locations across the US and internationally. PEERS® is an evidenced based program, showing benefit for individuals on the Autism spectrum, but is also appropriate for individuals with","San Diego","92127","no","CA","https://www.psychologytoday.com/us/groups/peers-for-teens-san-diego-ca/205068","group"
"San Diego Therapy Center & Neurofeedback","Psychologist, PsyD","adhd","Our center provides counseling and Neurofeedback services. Trauma impacts the brain’s ability to regulate effectively. Neurofeedback helps your nervous system to shift to appropriate states, stabilize uncomfortable and dysregulated physiological symptoms, and strengthen appropriate brain performances. Thereby reducing anxiety and depression symptoms related to trauma exposure. We specialize in working with children, teens, and adults who are struggling with symptoms of Anxiety,","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/san-diego-therapy-center-neurofeedback-san-diego-ca/211965","group"
"SoCal Wellness","Psychiatric Nurse Practitioner, MSN, PMHNP","adhd","At SoCal Wellness we are currently accepting new clients. We are out-of-network providers, however our office will assist you in filing for reimbursement if you have out-of-network benefits. We also have a limited number of cash pay openings. Appointment times are flexible including Saturdays & late afternoon. Telepsychiatry is also available.","San Diego","92121","no","CA","https://www.psychologytoday.com/us/groups/socal-wellness-san-diego-ca/152165","group"
"Sunward Psychiatry","Psychiatrist, MD","adhd","At Sunward Psychiatry, we provide affirming, culturally sensitive, and compassionate telepsychiatry care for adults, children, and adolescents in California. We take a holistic approach integrating different aspects of wellness to provide an individualized plan for each client. Beyond the comprehensive psychiatric evaluation, we also have extensive experience in climate emotion mental health, Asian Pacific American mental health, and LGBTQIA+ mental health.","San Diego","92130","no","CA","https://www.psychologytoday.com/us/groups/sunward-psychiatry-san-diego-ca/230282","group"
"DBT Skills Training Group","Clinical Social Work/Therapist, LCSW, PhD, LMFT","adhd","Personal Evolution Psychotherapy (PEP) provides DBT skills training groups that provide skills to decrease anxiety, depression, and feeling out of control. DBT also helps to increase communication skills and decrease relationship issues. Call or email PEP today for more information - 619.787.6676 - www.PersonalEvolutionPsychotherapy.com.  If you're having a hard time communicating effectively with other people, controlling high intensity emotions, or just existing comfortably, DBT can help. Dial","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/dbt-skills-training-group-san-diego-ca/41867","group"
"Filizetti Psychological Services","Psychologist, PhD","adhd","We are a person centered group focused on providing therapy and psychological evaluations to patients residing in California. We offer both in-person and telehealth services based on the patient's needs. Psychological Testing is available for ages 6 and older and we focus on diagnostic clarification including","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/filizetti-psychological-services-san-diego-ca/225906","group"
"Social Skills Groups (Pre-K1, 2-5th, Tween, Teen)","","adhd","The social groups for school-aged children are semi-structured, co-ed, activity-based, individualized, and focus on building relationships in a safe environment in which to practice newly learned skills.    Each child is evaluated to determine group fit and individual need.   We also include an SEL (Social Emotional Learning) k-12 evidence-based and psychodynamic treatment protocol for working in schools and treating various social emotional, language, harnessing the power of group and theory of","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/social-skills-groups-pre-k1-2-5th-tween-teen-san-diego-ca/54895","group"
"DBT Skills Training Groups","Clinical Social Work/Therapist, LCSW, BCD","adhd","Personal Evolution Psychotherapy (PEP) provides DBT skills training groups that provide skills to decrease anxiety, depression, and feeling out of control. DBT also helps to increase communication skills and decrease relationship issues. Call or email PEP today for more information - 619.787.6676 - www.PersonalEvolutionPsychotherapy.com. If you're having a hard time communicating effectively with other people, controlling high intensity emotions, or just existing comfortably, DBT can help. Diale","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/dbt-skills-training-groups-san-diego-ca/20987","group"
"Psychology 360","Psychologist, PhD","adhd",", Dyslexia, Dysgraphia, Dyscalculia, Emotional Health Concerns, Eating Disorders etc. Additional types include Pre Employment, Fitness for Duty, Second Opinion (POST), Pre Adoption, and Surrogacy. Contact Psychology 360 today for a brief phone consultation to determine if our services fit your needs.","San Diego","92122","no","CA","https://www.psychologytoday.com/us/groups/psychology-360-san-diego-ca/84317","group"
"Neuro Affirming Community Support Group","Associate Marriage & Family Therapist, MA, AMFT","adhd",") adults to find support and build community among like-minded peers.  This group includes aspects of a traditional process group, with added emphasis on creating and sustaining relationships and finding support.  Additionally, this group integrates art therapy, crafting and other activities to help foster connection.","San Diego","92102","no","CA","https://www.psychologytoday.com/us/groups/neuro-affirming-community-support-group-san-diego-ca/261977","group"
"Social Skills Group (young adults) 18-25","","adhd","This is a social skills group for those who struggle with social-emotional issues and/or are having trouble making friends due to there environmental or cultural factors. They may even be gifted and can't relate to others. They may be on the autism spectrum.  This group provides clinicians and parents to monitor their child's social and emotional learning.  Some children or adolescents may need medication management and or family/parenting counseling.  This group may be part of a larger treatmen","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/social-skills-group-young-adults-18-25-san-diego-ca/54897","group"
"Neuro-Affirming Teen Support Group","Marriage & Family Therapist Associate, AMFT","adhd",", or other) and is open to self diagnosed or formally diagnosed teens.  This is an LGBTQ+ affirming group and we are a safe space for trans and queer teens. While teens attend their group upstairs, parents are welcome to socialize with each other in our beautiful and relaxing library space where there is complementary coffee and tea.","San Diego","92102","no","CA","https://www.psychologytoday.com/us/groups/neuro-affirming-teen-support-group-san-diego-ca/288896","group"
"DBT Groups","Associate Clinical Social Worker, ACSW","adhd","At Personal Evolution Psychotherapy (PEP), we offer DBT Skills Groups designed to help you manage emotions, reduce stress, and improve relationships. You will learn:                                                                       - Mindfulness: Staying present and managing daily emotions.                                                                                      - Distress Tolerance: Coping with stress without increasing distress or causing harm.                                  ","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/dbt-groups-san-diego-ca/246493","group"
"Somatics for Non-Somatic Therapists","Marriage & Family Therapist, LMFT, CLC","adhd","Are you a therapist who is curious about somatic work? Through this virtual educational group, you will learn simple, body-based tools you can immediately start bringing into your sessions. This group focuses on two areas: 1) noticing your own nervous system responses, as a therapist, and 2) helping your clients track what's happening their bodies, during and outside of, talk therapy sessions. Through thoughtful discussions and experiential learning, you will gain practical skills to help bridge","San Diego","92103","no","CA","https://www.psychologytoday.com/us/groups/somatics-for-non-somatic-therapists/288181","group"
"Cortex Care Psychiatry","Psychiatrist, MD","adhd","","San Diego","92128","no","CA","https://www.psychologytoday.com/us/groups/cortex-care-psychiatry/277955","group"
"Jamie M. Sorenson, Psych Nurse Practitioner","Psychiatric Nurse Practitioner, PMHNP, PMHCNS, APRN","adhd","After 25 years in the Navy, I retired and started my own psychiatry practice. I provide general outpatient psychiatry services directly to patients in a couple different locations in San Diego, but predominantly Coronado, CA. I also provide tele-Psychiatry appointments to individuals who are in the State of CA.","Coronado","92118","no","CA","https://www.psychologytoday.com/us/groups/jamie-m-sorenson-psych-nurse-practitioner-coronado-ca/164361","group"
"Thriving Beyond Cassandra Syndrome Group","Marriage & Family Therapist Associate, AMFT","autism","A powerful program to support Allistic partners in Neurodiverse relationships. Impactful tools and guidance serving over 50 women thus far, leading to significant shifts - from feeling alone, disempowered, and confused to clarity, reclaiming themselves and returning to optimism. This therapeutic community experience will help you navigate your relationship's emotional and practical complexities through validation, psychological safety, and professional guidance. I invite you to visit www.Thrivin","San Diego","92122","no","CA","https://www.psychologytoday.com/us/groups/thriving-beyond-cassandra-syndrome-group-san-diego-ca/232653","group"
"Late Diagnosed Autistic Women's Group","Marriage & Family Therapist Associate, AMFT","autism","women to connect socially and explore topics such as shame, internalized ableism, sensory over-stimulation, masking, identity, relationships/dating, communication, burn out, coping, accommodations and self-care. This group is open to those who have been formally diagnosed or are self-diagnosed","San Diego","92102","no","CA","https://www.psychologytoday.com/us/groups/late-diagnosed-autistic-womens-group-san-diego-ca/288895","group"
"PEERS for Young Adults","Marriage & Family Therapist, LMFT","autism","The Program for the Education and Enrichment of Relational Skills (PEERS®) is an evidence-based social skills intervention originally developed at UCLA by Dr. Elizabeth Laugeson and Dr. Fred Frankel PEERS® is a social skills training program for young adults ages 18-35 with social difficulties. PEERS® is an evidenced based program, showing benefit for individuals on the","San Diego","92127","no","CA","https://www.psychologytoday.com/us/groups/peers-for-young-adults-san-diego-ca/205069","group"
"DBT Groups","Clinical Social Work/Therapist, LCSW, PhD, LMFT","autism","At Personal Evolution Psychotherapy (PEP), we offer DBT Skills Groups designed to help you manage emotions, reduce stress, and improve relationships. You will learn about:                                                                 - Mindfulness: Staying present and managing daily emotions.                                                                                     - Distress Tolerance: Coping with stress without increasing distress or causing harm.                                   ","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/dbt-groups-san-diego-ca/256475","group"
"Neurospicy Hang for Teens","Marriage & Family Therapist Associate, AMFT","autism","","Encinitas","92024","no","CA","https://www.psychologytoday.com/us/groups/neurospicy-hang-for-teens-encinitas-ca/292271","group"
"OC PEERS Social Skills Treatment","Psychologist, PsyD","autism","Social Skills Training Program 
 
Develop evidence-based skills to achieve social success!

About PEERS (Program for the Education and Enrichment of Relational Skills): this successful 14-week evidence-based program is designed for parents and motivated teenagers (7th-12th grade) who are interested in learning ways to help them make and keep friends. 
 

· appropriate conversational skills

· find common interests 

· appropriate use of humor

· enter and exit conversations 

· handle rejection,","Newport Beach","92660","no","CA","https://www.psychologytoday.com/us/groups/oc-peers-social-skills-treatment-newport-beach-ca/27142","group"
"Executive Functioning Skills Coaching Group-ONLINE","Psychologist, PhD, MACL, BSP","autism","Learn practical, science-based skills to support getting started, focus, and follow through on tasks. Each week, we will focus on a specific area of executive functioning: Week 1: Planning & Time Awareness Week 2: Task Initiation & Sequencing Week 3: Working Memory & Organization Week 4: Stress & Emotion Regulation Week 5: Flexibility & Procrastination Week 6: Habits, Motivation, & Energy Week 7: Communication & Self-Advocacy Week 8: Burnout Prevention & Maintenance.   If you’re interested in jo","Claremont","91711","no","CA","https://www.psychologytoday.com/us/groups/executive-functioning-skills-coaching-group-online-claremont-ca/287192","group"
"Neuroqueer Group via Zoom","Marriage & Family Therapist, MA, LMFT","autism","A mental health group for LGBTQ+ individuals (18+) who identify as","Costa Mesa","92626","no","CA","https://www.psychologytoday.com/us/groups/neuroqueer-group-via-zoom-costa-mesa-ca/269996","group"
"Kids Social Skills","Marriage & Family Therapist, MA, LMFT","autism","Location: Huntington Beach IN PERSON SESSIONS***Does your child need a little extra support making friends, reading social cues, or building confidence in group settings? Kids Social Superstars is a fun and interactive social skills group designed for children ages 5-9!","Irvine","92604","no","CA","https://www.psychologytoday.com/us/groups/kids-social-skills-irvine-ca/262337","group"
"Authentically Us (An Autism Support Group)","","autism","""Authentically Us"" is an in-person support group for young adults (ages 18–25) on the","Rancho Cucamonga","91730","no","CA","https://www.psychologytoday.com/us/groups/authentically-us-an-autism-support-group-rancho-cucamonga-ca/284904","group"
"Young Adult Social Skills Group","Marriage & Family Therapist, MA, LMFT, LPCC","autism","Parent-assisted intervention focusing on young adults having difficulty making/keeping friends. 90 minutes each week for 16-weeks. Focuses on skills like having conversations, choosing appropriate friends, handling teasing/bullying and other forms of social rejection, handling arguments, get-togethers, and dating.  Homework assignments required each week to generalize skills. Small group format and specific instruction. Concrete rules and steps of social etiquette are presented through role-play","Newport Beach","92660","no","CA","https://www.psychologytoday.com/us/groups/young-adult-social-skills-group-newport-beach-ca/131681","group"
"Mindfulness Process Group with Dr. John Rettger","Psychologist, PhD","anxiety",", stress, relationship concerns, social isolation – and who want to get support as they do so. During group meetings, members work collaboratively to keep each other accountable and providing a mix of support and appropriate challenge for each other as they work toward their treatment goals. members regularly have between-session assignments to complete including readings, worksheets, or practicing techniques covered during sessions. Showing respect for each other and maintaining other members’ ","San Diego","92121","no","CA","https://www.psychologytoday.com/us/groups/mindfulness-process-group-with-dr-john-rettger-san-diego-ca/168599","group"
"Healing After Narcissistic Abuse","Clinical Social Work/Therapist, LCSW","anxiety","Healing After Narcissistic Abuse is a virtual support group for those recovering from emotionally abusive or manipulative relationships. This group provides psychoeducation, therapeutic support, and peer connection in a safe, validating space. Topics include gaslighting, codependency, trauma, grief, boundary-setting, and rebuilding self-worth. You'll gain insight into the effects of narcissistic abuse and learn tools to support your healing. Whether you're just beginning to recognize the pattern","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/healing-after-narcissistic-abuse-san-diego-ca/270285","group"
"Telehealth Expressive Arts Group - The Artists Way","Marriage & Family Therapist Associate, AMFT, AT","anxiety","Do you want to connect to your more creative, authentic self? As an Art Therapist, I believe EVERYBODY is an artist. I also whole heartedly believe in the powerful healing benefits of art. Join me in this 8-week Art Group in which we explore The Artist's Way's powerful tools (a book by Julia Cameron) paired with engaging art making, facilitated discussion, and a safe space to break through your creative and personal blockages and connect to your emotional, creative soul. Absolutely no art experi","San Diego","92104","no","CA","https://www.psychologytoday.com/us/groups/telehealth-expressive-arts-group-the-artists-way-san-diego-ca/240226","group"
"Ketamine Assisted Therapy Group","Marriage & Family Therapist, LMFT, E-RYT, MA","anxiety","I offer ketamine assisted therapy groups for folks who want to engage in ketamine assisted therapy in a more affordable manner.","San Diego","92107","no","CA","https://www.psychologytoday.com/us/groups/ketamine-assisted-therapy-group/255458","group"
"Emotional Regulation and Resilience Group","Marriage & Family Therapist, MA, LMFT","anxiety","The Emotional Regulation and Resilience Group is a structured, psychotherapy group designed to help adults strengthen emotional stability, reduce stress reactivity, and build effective coping strategies for managing life’s challenges.  This group integrates evidence-based interventions from Cognitive Behavioral Therapy (CBT), trauma-informed care, and skills-based approaches to support participants in understanding and regulating emotional responses in real time.  Participants will learn how to ","San Diego","92195","no","CA","https://www.psychologytoday.com/us/groups/emotional-regulation-and-resilience-group-san-diego-ca/146335","group"
"Brainspotting for Self-Love and Secure Attachment","Clinical Social Work/Therapist, LCSW","anxiety","This isn’t traditional group therapy. You won’t be asked to share your trauma story or process out loud. Each person does their own internal work while the group holds space. The shared energy and co-regulation create a container that individual work alone can’t replicate. Sessions are structured and gentle, with an emphasis on pacing, choice, and safety. Sharing is always optional. No previous Brainspotting experience is required. www.therapywithesma.com","San Diego","92130","no","CA","https://www.psychologytoday.com/us/groups/brainspotting-for-self-love-and-secure-attachment-mill-valley-ca/280053","group"
"Open Floor: Embodied Dance & Movement","Clinical Social Work/Therapist, LCSW, MSW, MPH, CMP","anxiety","Therapy, in Motion! We learn & practice with a dynamic tool kit of resources to move through life, fully embodied - supporting self-discovery, connection & healing. Through structured exercises, verbal guidance, open periods of dance/movement, & supportive music, I guide students through the phases of the Movement Cycle: Open Attention (arriving, warming up and preparing the body for movement); Enter (the body, a theme and the present moment); Explore (broadening, deepening, expanding and moving","San Diego","92104","no","CA","https://www.psychologytoday.com/us/groups/open-floor-embodied-dance-movement-la-mesa-ca/109492","group"
"Mindful May - Spring Cleaning for the Mind","Associate Professional Clinical Counselor, APCC","anxiety","This therapy group offers a holistic approach to help participants refresh and declutter their minds through yoga, meditation, and mindful journaling. Each session focuses on letting go of mental clutter, cultivating inner peace, and setting intentions for growth. The group will meet on the first four Mondays in May at the Carmel Mountain Ranch Rec Center from 8:30 AM to 9:45 AM. The cost is $220 for all 4 sessions if registered by April 9, and $260 after April 9.","San Diego","92128","no","CA","https://www.psychologytoday.com/us/groups/mindful-may-spring-cleaning-for-the-mind-san-diego-ca/263129","group"
"2026 Summer Teen Therapy Process Group","Clinical Social Work/Therapist, LCSW, LICSW","anxiety",", Stress, Confidence, Mood Regulation, Self-Esteem, Identity, Challenges associated with neurodivergence & Communication                                                                                                                                                      **RUNS 8 weeks from June 27-August 29","San Diego","92130","no","CA","https://www.psychologytoday.com/us/groups/2026-summer-teen-therapy-process-group-san-diego-ca/288035","group"
"Afterglow Perinatal Depression & Anxiety Support","Clinical Social Work/Therapist, LCSW","anxiety","and you’re looking for a sense of community during these isolating times, join us for the Afterglow Support Group.  We cover topics related to coping tools, self-care, what to expect, questions to ask your provider when considering medication, communicating with partners, and attachment with baby, as well as provide a safe, confidential, and non-judgmental space for each other.  If you can’t join us, please go to my website to access the Afterglow Handouts, a resource I am happy to share with an","San Diego","92109","no","CA","https://www.psychologytoday.com/us/groups/afterglow-perinatal-depression-anxiety-support-reno-nv/182795","group"
"LEO/Police Officer Support Group","Marriage & Family Therapist Associate","anxiety","This is a place LEOs come together and normalize their unique experiences. The job of an officer is extremely demanding. Officers deserve the support to maintain their mental health. Mental health related issues are the number one reason that officers lose their jobs. It is important to provide our peace officers with appropriate services so that they can do their jobs with a clear mind. This group can be attended in person or virtually.","San Diego","92123","no","CA","https://www.psychologytoday.com/us/groups/leopolice-officer-support-group-san-diego-ca/235597","group"
"Russian-speaking Support Group ""Soft Landing""","Marriage & Family Therapist","anxiety","An online support group for Russian-speaking men and women who have been through immigration, loneliness, stress, and difficult relationships and want not only to cope, but to feel grounded and connected again. This is a space where you do not have to be strong all the time. Here, you can exhale, better understand your emotions, and learn ways to calm your nervous system. We talk about stress, trauma, boundaries, relationships, and healing in a simple, genuine, and nonjudgmental way.","San Diego","92121","no","CA","https://www.psychologytoday.com/us/groups/russian-speaking-support-group-soft-landing-san-diego-ca/285137","group"
"In Your Bones: Women's Group (Virtual)","Pre-Licensed Professional","anxiety","Friendships shape how we see ourselves — and old patterns can quietly repeat without us noticing. In Your Bones is an 8-week virtual women's group designed as a secure space to explore these patterns and build healthier, more connected relationships.","San Diego","92121","no","CA","https://www.psychologytoday.com/us/groups/in-your-bones-womens-group-virtual-san-diego-ca/292834","group"
"Theokratia Psychotherapy Professional Corporation","Marriage & Family Therapist, LMFT","anxiety","Our therapist treats all forms: individuals, families, couples, etc. we enjoy working with couples (premarital couples, married couples, divorcing and divorced couples, co-parenting couples).  We are a structural group of a family therapist, who incorporates CBT. We focus on identifying the core beliefs you hold that are triggered by your current circumstances and begin to challenge those beliefs so that you began to have internal healing. Our practice creates a non-judgmental environment and ha","San Diego","92101","no","CA","https://www.psychologytoday.com/us/groups/theokratia-psychotherapy-professional-corporation-dallas-tx/185832","group"
"Within Sight Inc. (WSI)","Psychologist, PhD","anxiety","WSI has several clinicians with various specialties who each value genuineness with their patients. Clinicians in the group can consult with each other as needed to serve particular patients needs. Therapy groups are available on an interest basis.","San Diego","92117","no","CA","https://www.psychologytoday.com/us/groups/within-sight-inc-wsi-san-diego-ca/166753","group"
"DBT Adult Skills Group","Psychological Associate, PsyD","anxiety","Joining a DBT skills group is a brave step ~ and you don’t have to do it alone! In our virtual group, we explore practical skills, practice mindfulness exercises, and cheer each other on through challenges and wins. We also mix in fun activities to make learning skills engaging and memorable. I receive supervision from 1 of only 5 certified DBT therapists in San Diego, ensuring the group reflects the highest level of expertise. So, come as you are, and leave with tools, connection, and a little ","San Diego","92121","no","CA","https://www.psychologytoday.com/us/groups/dbt-adult-skills-group-san-diego-ca/280459","group"
"bareWell","Psychologist, PsyD","anxiety","Our mission at bareWell is to improve the lives of people we work with by building and fostering genuine relationships and removing the stigma behind seeking help.   bareWell is all about revealing who we are and what we’ve been through in order to become a better version of ourselves - and we do that through fostering genuine connection with our clients. By providing a safe, compassionate and collaborative space we create authentic and meaningful relationships with people and set forth a proces","San Diego","92101","no","CA","https://www.psychologytoday.com/us/groups/barewell-san-diego-ca/163300","group"
"Cultivating Calm","Marriage & Family Therapist, MA, LMFT","anxiety","Join us for a skills based group to learn self compassion and cognitive behavioral skills to help decrease stress. This is a great starting point for all clients to brush up on skills prior to doing the deeper work.","San Diego","92128","no","CA","https://www.psychologytoday.com/us/groups/cultivating-calm-san-diego-ca/254483","group"
"Process and Support Group","Psychologist, PsyD","anxiety","Process and support group. Group process is one of the most powerful means of growing, healing and getting closer to people and oneself.","San Diego","92109","no","CA","https://www.psychologytoday.com/us/groups/process-and-support-group-san-diego-ca/198352","group"
"DBT Skills Training Group","Associate Clinical Social Worker, ACSW","anxiety",", depression, and feeling out of control. DBT also helps to increase communication skills and decrease relationship issues. Call or email PEP today for more information - 619.787.6676 - www.PersonalEvolutionPsychotherapy.com. If you're having a hard time communicating effectively with other people, controlling high intensity emotions, or just existing comfortably, DBT can help. Dialectical Behavior Therapy (DBT) helps to decrease depression,","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/dbt-skills-training-group-san-diego-ca/246482","group"
"Hillcrest Wellness Center","Marriage & Family Therapist, LMFT","anxiety","Home to an exceptional group of independent wellness service providers offering counseling, life coaching, massage therapy, acupuncture, Chinese medicine, energy work, aromatherapy and more!","San Diego","92103","no","CA","https://www.psychologytoday.com/us/groups/hillcrest-wellness-center-san-diego-ca/65202","group"
"Men's Process Group - Center for Men's Excellence","Psychologist, PhD","anxiety","and/or depression who have trouble feeling isolated.  Participants are high-functioning professionals who have difficulty sustaining close relationships, and sessions involve using the group as a type of ""laboratory"" to try out new ways of interacting with each other.  Participants have regular out-of-session ""homework"" assignments which involve practicing some new behaviors designed to extend their comfort levels and to enhance their social support.  Members support and challenge each other as ","San Diego","92121","no","CA","https://www.psychologytoday.com/us/groups/mens-process-group-center-for-mens-excellence-san-diego-ca/33800","group"
"Anxiety Workshop","Clinical Social Work/Therapist, LCSW","anxiety",", helping you understand it and providing you with tools to get relief from it. Regain your sense of safety, sense of calm and overall enjoyment of life. We start March 5th-April 9th. Call 619-363-1920 to sign up or sign up through our website.","San Diego","92110","no","CA","https://www.psychologytoday.com/us/groups/anxiety-workshop-san-diego-ca/181996","group"
"Teen Process Group","Psychologist, PsyD","anxiety",", stresses, self-doubt as they navigate school, relationships, and development. Prior experience in therapy is a plus but not necessary.","San Diego","92103","no","CA","https://www.psychologytoday.com/us/groups/teen-process-group-san-diego-ca/284749","group"
"Grief and Loss Group","Marriage & Family Therapist Associate, AMFT","anxiety","This is a 10-wk grief & loss group for adults in San Diego navigating the grief process. The facilitator is a LPCC with over a decade of experience leading Grief and Loss groups.  Grief is a process that all people will go through as a result of the death of an important person in their lives. While grief is universal, it can often feel extremely isolating– as if you are the only person who is going through the depths of painful loss. Connecting with others who “get it” can provide a healing exp","San Diego","92110","no","CA","https://www.psychologytoday.com/us/groups/grief-and-loss-group-san-diego-ca/292657","group"
"The Black Women’s Collective","Marriage & Family Therapist, LMFT","anxiety","In an effort to support community healing and make therapy more financially accessible The Black Women’s Collective is back. This will be a space to learn and practice skills. An opportunity to build community. And a chance for personal growth. The goal is to support you in finding useful coping skills , moments of healing, and tap into self love all within community.  For more information please reach out.","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/the-black-womens-collective-san-diego-ca/211085","group"
"Sailing self esteem, Stress Management,Support","Clinical Social Work/Therapist, LCSW","anxiety","A small group to sail in San Diego bay.  We will focus on mindfulness, calm, team building, learning to sail. To discuss life events, coping strategies and build social support.This happens when the weather is warmer.   I am a lic US boat Captain.   Other groups in office or out doors to be announced.","San Diego","92103","no","CA","https://www.psychologytoday.com/us/groups/sailing-self-esteem-stress-managementsupport-san-diego-ca/50399","group"
"Women's Support Group (Virtual)","Marriage & Family Therapist, MA, LMFT","anxiety","This virtual Women’s Support Group offers a warm, safe space to share experiences, challenges, and triumphs in community. Together, we’ll practice compassionate communication, deep listening, and authentic connection—with others and with ourselves. Themes include navigating relationships, managing stress and overwhelm, cultivating self-compassion, finding your voice, and moving through life transitions with support. Through empathy, reflection, and gentle practice, members experience the healing","San Diego","92104","no","CA","https://www.psychologytoday.com/us/groups/womens-support-group-virtual-san-diego-ca/270769","group"
"Brazilian Portuguese Therapy Sessions","Marriage & Family Therapist, MA,LMFT","anxiety","I worked extensively with Couples & Individuals struggling with Relationship distress, Lack of Intimacy, Self-esteem,","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/brazilian-portuguese-therapy-sessions-san-diego-ca/292282","group"
"Women's Telehealth Support Group","Psychologist, PsyD, QME","anxiety","Women play a special role in our treatment at Advanced Health Care. During this time of uncertainty, we know that support and connection is needed now more than ever. Please join Dr. Sarah Ray in an online teletherapy support group for women. This group will be limited to 6 women, to provide ample opportunity for support, resources, and connection for each member. Topics will depend on the need of each group, but will focus on:","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/womens-telehealth-support-group-san-diego-ca/168902","group"
"GrowthWell Counseling Services","Clinical Social Work/Therapist, MSSA, LCSW","anxiety","GrowthWell Counseling Services (GCS) was established in 2017 by Juan Calderon-Aguirre, MSSA, LCSW. GrowthWell's  primary goal is improving the quality of life of those experiencing hardships in their life by providing empathetic, supportive, evidenced-based counseling with proven outcomes. The growing mental health group practice six clinicians who make up a comprehensive program, offering a multiple treatment modalities, including; Cognitive Behavioral Therapy (CBT), Trauma Focused CBT (certifi","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/growthwell-counseling-services-san-diego-ca/173825","group"
"Men's Process Group - Every other Thursday","Psychologist, PsyD","anxiety","Our men's process groups serve as a kind of ""social laboratory"" in which 6-8 members try out new behaviors and gain insights about themselves interpersonally so that they can use those skills and competencies in relationships outside of group. Most members share some amount of","San Diego","92121","no","CA","https://www.psychologytoday.com/us/groups/mens-process-group-every-other-thursday-san-diego-ca/223853","group"
"Trauma and PTSD Healing Center","Psychologist, PhD","anxiety","At the Trauma and PTSD Healing Center, we help adults heal from PTSD, trauma, loss, and relational wounds at your own pace. Using EMDR, CPT, ACT, and self-compassion practices, we guide you to process pain, manage emotions, and rebuild safety and self-trust.  Healing here is more than easing symptoms — it’s reclaiming your voice, confidence, and power to thrive. We provide tools for healthy boundaries, self-advocacy, and everyday self-care. Free 15-minute consultations available. Virtual session","San Diego","92108","no","CA","https://www.psychologytoday.com/us/groups/trauma-and-ptsd-healing-center-san-diego-ca/277164","group"
"Current Events Stress Support","Marriage & Family Therapist, MS, LMFT, EMDR","anxiety","","San Diego","92124","no","CA","https://www.psychologytoday.com/us/groups/current-events-stress-support-san-diego-ca/290994","group"
"Coming Home to the Body: A somatic process group","Marriage & Family Therapist Associate, AMFT","anxiety","Coming home to the body is a 6-week somatic journey for individuals ready to reconnect with themselves, release judgment, and cultivate safety, presence, and embodied self-trust. This is a guided experience in listening to your body and befriending your inner wisdom. You’ll learn to slow down, notice, and reconnect with the wisdom of your body in a safe space. This group is for people who are curious about embodiment and nervous system awareness, want a gentle approach, and can engage in a group","San Diego","92101","no","CA","https://www.psychologytoday.com/us/groups/coming-home-to-the-body-a-somatic-process-group-san-diego-ca/289582","group"
